Titre,Auteur,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,écart date,Genre auteur,Format,Pages,Editeur
Le démon de l'écriture,Kafka Ben,9782930601083,1,2,2021,2/1/2021,1,4,2021,4/1/2021,2,H,Broché,182,Zones Sensibles Editions
L'Art de la joie,Sapienza Goliarda,9782370550446,1,2,2021,2/1/2021,2,2,2021,2/2/2021,31,F,EBook,640,Le Tripode
Les imaginaires numériques au musée ?,Sandri Eva,9791092305647,1,6,2021,6/1/2021,1,8,2021,8/1/2021,2,F,Broché,124,MkF Éditions
Wikidata ,Chardonnens Anne,,1,14,2021,14/1/2021,1,18,2021,18/1/2021,4,F,Broché,420,
Harry Potter et la chambre des secrets (Harry Potter #2),Rowling J.K.,9782070584642,1,14,2021,14/1/2021,2,1,2021,1/2/2021,18,F,Broché,368,European Schoolbooks Ltd
Mal d'archive. Une impression freudienne,Derrida Jacques,9782718604541,1,29,2021,29/1/2021,2,1,2021,1/2/2021,3,H,Broché,150,Galilée
Le Pouvoir des Mots: Discours de haine et politique du performatif,Butler Judith,9782354801656,2,2,2021,2/2/2021,2,9,2021,9/2/2021,7,F,Broché,237,Éditions Amsterdam
42e Parallèle,Dos Passos John,9782070376940,2,9,2021,9/2/2021,2,28,2021,28/2/2021,19,H,Broché,484,Gallimard
Controverses mode d'emploi,Collectif; Latour Bruno,9782724627152,2,11,2021,11/2/2021,2,14,2021,14/2/2021,3,C,Broché,317,Presse de Sciences Po
"Thésée, sa vie nouvelle",Toledo Camille de,9782378560775,2,28,2021,28/2/2021,3,4,2021,4/3/2021,4,H,Broché,251,Verdier
Mélancolie post-coloniale,Gilroy Paul,9782490077267,3,4,2021,4/3/2021,3,18,2021,18/3/2021,14,H,Broché,207,Editions B42
Histoire du fils,Lafon Marie-Hélène,9782283032800,3,5,2021,5/3/2021,3,7,2021,7/3/2021,2,F,EBook,176,Buchet-Chastel
La Supplication,Alexievich Svetlana,9782290300312,3,19,2021,19/3/2021,3,28,2021,28/3/2021,9,F,EBook,250,J'ai Lu
Décolonisons les arts!,"Françoise Vergès, Leïla Cukierman,  Gerty Dambury",9782851819451,3,27,2021,27/3/2021,3,29,2021,29/3/2021,2,F,Broché,144,L'Arche
"Le sexisme, une affaire d’hommes",Rey-Robert Valérie,9782377291304,3,29,2021,29/3/2021,4,4,2021,4/4/2021,6,F,Broché,264,Libertalia
"Ce qui fait une vie: Essai sur la violence, la guerre et le deuil",Butler Judith,9782355220289,4,5,2021,5/4/2021,4,10,2021,10/4/2021,5,F,EBook,180,La Découverte
Le Silence,DeLillo Don,9782330149307,4,10,2021,10/4/2021,4,11,2021,11/4/2021,1,H,EBook,112,Actes Sud
Le rouge vif de la rhubarbe,Ólafsdóttir Auður Ava,9782843048173,4,11,2021,11/4/2021,4,11,2021,11/4/2021,0,F,EBook,160,Zulma
Rosa Candida,Ólafsdóttir Auður Ava,9782843045219,4,11,2021,11/4/2021,4,17,2021,17/4/2021,6,F,EBook,333,Zulma
Pratiques d'archives à l'époque moderne,"Pia Donato Maria, Anne Saada",9782406085539,4,17,2021,17/4/2021,4,30,2021,30/4/2021,13,F,Broché,488,Classiques Garnier
L'Embellie,Ólafsdóttir Auður Ava,9782843045899,4,17,2021,17/4/2021,4,21,2021,21/4/2021,4,F,EBook,395,Zulma
L'Exception,Ólafsdóttir Auður Ava,9782843046957,4,21,2021,21/4/2021,4,25,2021,25/4/2021,4,F,EBook,338,Zulma
Ör,Ólafsdóttir Audur Ava,9782843048067,4,26,2021,26/4/2021,5,1,2021,1/5/2021,5,F,EBook,240,Zulma
Miss Islande,Olafsdottir Audur Ava,9782843048692,5,2,2021,2/5/2021,5,8,2021,8/5/2021,6,F,EBook,288,Zulma
Les femmes aussi sont du voyage,Azema Lucie,9782080208613,5,8,2021,8/5/2021,5,10,2021,10/5/2021,2,F,EBook,330,Flammarion
Où atterrir ?,Latour Bruno,9782707197009,5,10,2021,10/5/2021,5,13,2021,13/5/2021,3,H,EBook,127,La Découverte
Autobiographie d'un poulpe,Despret Vinciane,9782330147631,5,13,2021,13/5/2021,5,16,2021,16/5/2021,3,F,EBook,156,Actes Sud
Americanah,Adichie Chimamanda Ngozi,9782070142354,5,16,2021,16/5/2021,5,23,2021,23/5/2021,7,F,EBook,528,Gallimard
Les Lois de la frontière,Cercas Javier,9782330027100,5,24,2021,24/5/2021,5,28,2021,28/5/2021,4,H,Broché,352,Actes Sud
Le dossier sauvage,Artières Philippe,9782072854811,5,28,2021,28/5/2021,5,31,2021,31/5/2021,3,H,EBook,168,Verticales
Les Armoires vides,Ernaux Annie,9782070376001,5,31,2021,31/5/2021,6,4,2021,4/6/2021,4,F,EBook,192,Gallimard
L'Œuvre au Noir,Yourcenar Marguerite,9782070367986,6,5,2021,5/6/2021,6,24,2021,24/6/2021,19,F,EBook,480,Gallimard
Le peuple du Larzac,Artières Philippe,9782348042690,6,11,2021,11/6/2021,6,16,2021,16/6/2021,5,H,Broché,299,La Découverte
"Trap : Rap, drogue, argent, survie","Adeyemi Kemi,  Raphaël Da Cruz,  Kaluža  Jernej",9782492469039,6,18,2021,18/6/2021,6,22,2021,22/6/2021,4,C,Broché,175,"Audimat Éditions, Éditions Divergences"
Le web français de la Grande Guerre,"Lionel Maurel, Valérie Beaudoin",9782840163145,6,23,2021,23/6/2021,7,19,2021,19/7/2021,26,C,Broché,348,Presse universitaire Paris-Nanterre
Ce que je ne veux pas savoir,Levy Deborah,9782364684508,6,25,2021,25/6/2021,6,26,2021,26/6/2021,1,F,EBook,144,Sous-sol
La Grande escapade,Blondel Jean-Philippe,9782283031834,6,27,2021,27/6/2021,7,6,2021,6/7/2021,9,H,EBook,72,Buchet-Chastel
Mémoires d'Hadrien,Yourcenar Marguerite,9782070369218,7,7,2021,7/7/2021,7,25,2021,25/7/2021,18,F,EBook,364,Gallimard
Ni fleurs ni couronnes,Kerangal Maylis de,9782070777204,7,20,2021,20/7/2021,7,21,2021,21/7/2021,1,F,EBook,128,Verticales
Le Bateau-usine ,Kobayashi Takiji,9782844859617,7,21,2021,21/7/2021,7,22,2021,22/7/2021,1,H,EBook,176,Allia
Où suis-je ? - Leçons du confinement à l'usage des terrestres,Latour Bruno,9782359252002,7,23,2021,23/7/2021,7,26,2021,26/7/2021,3,H,EBook,192,Empécheurs de penser rond
Gorilla Girl,Schmauch Anne,9782377314690,7,26,2021,26/7/2021,7,29,2021,29/7/2021,3,F,EBook,369,Sarbacane
1919,Dos Passos John,9782072836282,7,30,2021,30/7/2021,8,12,2021,12/8/2021,13,H,EBook,560,Gallimard
Telluria,Sorokine Vladimir,9782330074982,8,12,2021,12/8/2021,8,19,2021,19/8/2021,7,H,EBook,354,Actes Sud
Une histoire populaire du football,Correia Mickaël,9782348058677,8,19,2021,19/8/2021,8,28,2021,28/8/2021,9,H,EBook,509,La Découverte
D'Afrique en Palestine,Blyden Edward Wilmot,9782271126511,8,31,2021,31/8/2021,9,1,2021,1/9/2021,1,H,EBook,206,Cnrs
Le conflit n’est pas une agression,Schulman Sarah,9782490077489,9,1,2021,1/9/2021,10,1,2021,1/10/2021,30,F,Broché,248,B42
Noir volcan,Coulon Cécile,9791027802449,9,4,2021,4/9/2021,9,5,2021,5/9/2021,1,F,Broché,148,Castor Astral
Petit éloge du running,Coulon Cécile,9791025203798,9,5,2021,5/9/2021,9,6,2021,6/9/2021,1,F,EBook,128,LES NOUVELLES EDITIONS FRANCOIS BOURIN
Open Design: Fabrication numérique et mouvement maker (Esthétique des données),Bosqué Camille,9782490077588,9,2,2021,2/9/2021,9,12,2021,12/9/2021,10,F,Broché,216,B42
Mythologies d'hiver,Michon Pierre,9782864322641,9,12,2021,12/9/2021,9,13,2021,13/9/2021,1,H,Broché,87,Verdier
Un si petit monde,Blondel Jean-Philippe,9782283034088,9,15,2021,15/9/2021,9,19,2021,19/9/2021,4,H,EBook,256,Buchet-Chastel
Le coût de la vie,Levy Deborah,9782364684546,9,19,2021,19/9/2021,9,20,2021,20/9/2021,1,F,EBook,160,Sous-sol
Créer des services innovants : stratégies et répertoire d'actions pour les bibliothèques,Jacquinet Marie-Christine,9782910227906,9,21,2021,21/9/2021,9,23,2021,23/9/2021,2,F,Broché,172,ENSSIB
Charlemagne et Mahomet. En Espagne (VIIIe-IXe siècles) (Folio histoire),Sénac Philippe,9782070357949,9,22,2021,22/9/2021,9,25,2021,25/9/2021,3,H,EBook,432,Gallimard
Mrs Dalloway,Woolf Virginia,9782818052006,10,9,2021,9/10/2021,10,22,2021,22/10/2021,13,F,EBook,334,L'iconoclaste
La Fabrique du Monstre,Philippe Pujol,9782352044598,10,22,2021,22/10/2021,10,25,2021,25/10/2021,3,H,Broché,384,POL Editeur
Celle qui fuit et celle qui reste,Elena Ferrante,9782070178407,10,25,2021,25/10/2021,11,3,2021,3/11/2021,9,F,Broché,480,Gallimard
Au printemps des monstres,Philippe Jaenada,9782080238184,11,4,2021,4/11/2021,12,5,2021,5/12/2021,31,H,EBook,752,Mialet-Barrault
Seule en sa demeure,Coulon Cécile,9782378802400,5,5,2021,5/5/2021,5,15,2021,15/5/2021,10,F,EBook,333,Iconoclaste
Ton coeur a la forme d’une île,Limongi Laure,9782246826170,12,5,2021,5/12/2021,12,6,2021,6/12/2021,1,F,EBook,252,Gallimard
Tous ceux qui tombent,Foa,9782348057885,12,6,2021,6/12/2021,12,14,2021,14/12/2021,8,H,EBook,352,La Découverte
Le problème à trois corps,Liu Cixin,9782330070748,12,15,2021,15/12/2021,12,26,2021,26/12/2021,11,H,EBook,432,Actes Sud
