Titre;Auteur;;EAN;mois_début;jour_début;Année_début;date_début;mois_fin;jour_fin;année_fin;date_fin;écart date;Genre auteur;Format;Pages;Editeur
Mercy, Mary, Patty;Lola Lafon;;9782330081782;1;3;2023;;1;6;2023;;;F;Ebook;240;Actes Sud
Une fièvre impossible à négocier;Lola Lafon;;9782330066802;2;23;2023;;3;2;2023;;;F;broché;336;Actes Sud
De ça je me console;Lola Lafon;;9782330081508;3;19;2023;;3;27;2023;;;F;broché;384;Actes Sud
Nous sommes les oiseaux de la tempête qui s'annonce;Lola Lafon;;9782330032760;4;22;2023;;5;3;2023;;;F;broché;432;Actes Sud
La nuit du premier jour;Theresa Révay;;9782226445810;5;16;2023;;5;27;2023;;;F;Ebook;496;Albin Michel
La pensée straight;Monique Wittig;;9782354801755;2;21;2023;;2;26;2023;;;F;broché;200;Amsterdam
Décolonial;Stéphane Dufoix;;9782381910505;4;10;2023;;4;15;2023;;;M;broché;104;Anamosa
Etranger;Karine Parrot;;9782381910741;10;1;2023;;10;2;2023;;;F;broché;112;Anamosa
En transit;Céline Regnard;;9782381910161;3;3;2023;;3;12;2023;;;F;broché;456;Anamosa
Le pays d’en haut;Marie-Hélène Lafon;;9782081443839;4;11;2023;;4;13;2023;;;F;broché;160;Arthaud
Le corps est une chimère;Wendy Delorme;;9791030702163;8;9;2023;;8;11;2023;;;F;Ebook;272;Au diable vauvert
A prendre ou à laisser;Lionel Shriver;;9782714495846;4;26;2023;;5;5;2023;;;F;Ebook;288;Belfond
Les pères lointains;Marina Jarre;;9782267051414;7;29;2023;;8;1;2023;;;F;Ebook;280;Bourgois
Les sources;Marie-Hélène Lafon;;9782283036600;5;12;2023;;5;14;2023;;;F;Ebook;128;Buchet-Chastel
Mo;Marie-Hélène Lafon;;9782283037126;11;26;2023;;11;28;2023;;;F;broché;144;Buchet-Chastel
L’annonce;Marie-Hélène Lafon;;9782070437702;3;13;2023;;3;22;2023;;;F;Ebook;160;Buchet-Chastel
Les pays;Marie-Hélène Lafon;;9782283037157;4;24;2023;;4;26;2023;;;F;Ebook;192;Buchet-Chastel
Camarade Lune;Barbara Balzerani;;9782366244281;9;3;2023;;9;10;2023;;;F;Ebook;176;Cambourakis
Sensible;Nedjma Kacimi;;9782366245936;3;12;2023;;3;18;2023;;;F;broché;253;Cambourakis
De la marge au centre;bell hooks;;9782366242485;12;22;2023;;12;31;2023;;;F;broché;304;Cambourakis
Show boat;Edna Ferber;;9782366247596;7;7;2023;;7;14;2023;;;F;broché;470;Cambourakis
La passion selon G.H;Clarice Lispector;;9782721008510;1;25;2023;;1;31;2023;;;F;broché;225;Des Femmes - Antoinette Fouque
Etat des lieux;Deborah Levy;;9782364685796;5;27;2023;;5;31;2023;;;F;Ebook;240;Du Sous-Sol
La femme silencieuse;Janet Malcolm;;9782364685390;6;18;2023;;6;26;2023;;;F;Ebook;240;Du Sous-Sol
À l’ombre de l’histoire des autres ;Camille Lefebvre;;9782713228902;3;28;2023;;4;6;2023;;;F;broché;200;EHESS
Réenchanter le monde;Silvia Federici;;9782940426638;1;5;2023;;1;19;2023;;;F;broché;304;Entremonde
Des pays au crépuscule;Camille Lefebvre;;9782213718101;5;5;2023;;5;12;2023;;;F;broché;352;Fayard
Rupture;Maryline Desbiolles;;9782081414204;6;26;2023;;6;28;2023;;;F;Ebook;128;Flammarion
Love Me Tender;Constance Debré;;9782081471733;11;15;2023;;11;23;2023;;;F;broché;192;Flammarion
Juste avant l’oubli;Alice Zeniter;;9782081334816;3;30;2023;;4;4;2023;;;F;Ebook;288;Flammarion
Le français va très bien, merci;Les linguistes atterrées;;9782073036698;8;27;2023;;8;27;2023;;;C;Ebook;64;Gallimard
Le corps des anges;Mathieu Riboulet;;9782070774197;6;7;2023;;6;11;2023;;;M;broché;104;Gallimard
Les années;Annie Ernaux;;9782070779222;8;1;2023;;8;4;2023;;;F;Ebook;256;Gallimard
Dans la forêt;Jean Hegland;;9782351786444;6;30;2023;;7;6;2023;;;F;Ebook;320;Gallmeister
Parcourir la terre disparue;Erin Swan;;9782351782798;8;4;2023;;8;8;2023;;;F;Ebook;496;Gallmeister
Assemblage;Natasha Brown;;9782246828235;5;14;2023;;5;14;2023;;;F;Ebook;160;Grasset
Toucher la terre ferme;Julia Kerninon;;9782378802752;10;26;2023;;10;27;2023;;;F;Ebook;115;Iconoclaste
Qu’on leur donne le chaos;Kae Tempest;;9782381980447;5;14;2023;;5;14;2023;;;M;broché;160;L’Arche
Le loup, l ‘épée et les étoiles;Lola Lafon;;9782815943598;6;17;2023;;6;17;2023;;;F;Ebook;128;L’Aube
Black feminism : anthologie du féminisme africain-américain, 1975-2000;dir. Elsa Dorlin;;9782296051041;5;18;2023;;5;31;2023;;;F;broché;266;L’Harmattan
Vies oubliées;Arlette Farge;;9782348045738;6;9;2023;;6;17;2023;;;F;Ebook;304;La Découverte
Sans ciel ni terre;Hélène Dumas;;9782348057892;8;31;2023;;9;6;2023;;;F;broché;307;La Découverte
