Titre,Auteur,Nationalité,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,ecart_date,Genre auteur,Format,Pages,Editeur
"Trap : Rap, drogue, argent, survie","Adeyemi Kemi,  Raphaël Da Cruz,  Kaluža  Jernej",N/A,9782492469039,6,18,2021,2021-06-18T00:00:00Z,6,22,2021,2021-06-22T00:00:00Z,4,C,Broché,175,"Audimat Éditions, Éditions Divergences"
L'Art de perdre,Alice Zeniter,Française,9782081418011,6,20,2022,2022-06-20T00:00:00Z,6,29,2022,2022-06-29T00:00:00Z,9,F,Ebook,512,Flammarion
Toute une moitié du monde,Alice Zeniter,Française,9782080259332,11,1,2022,2022-11-01T00:00:00Z,11,4,2022,2022-11-04T00:00:00Z,3,F,Ebook,240,Flammarion
Juste avant l’oubli,Alice Zeniter,Française,9782081334816,3,30,2023,2023-03-30T00:00:00Z,4,4,2023,2023-04-04T00:00:00Z,5,F,Ebook,288,Flammarion
La Saga Crispr,Aline Richard,Française,9782081375741,5,5,2022,2022-05-05T00:00:00Z,5,16,2022,2022-05-16T00:00:00Z,11,F,Ebook,400,Flammarion
L'Homme qui savait la langue des serpents,Andrus Kivirähk,Estonienne,9782370550637,8,15,2022,2022-08-15T00:00:00Z,8,26,2022,2022-08-26T00:00:00Z,11,M,Ebook,480,Le Tripode
Wikidata,Anne Chardonnens,Suisse,,1,14,2021,2021-01-14T00:00:00Z,1,18,2021,2021-01-18T00:00:00Z,4,F,Broché,420,
Gorilla Girl,Anne Schmauch,Française,9782377314690,7,26,2021,2021-07-26T00:00:00Z,7,29,2021,2021-07-29T00:00:00Z,3,F,Ebook,369,Sarbacane
Tombeaux,Annette Wieviorka,Française,9782021478181,2,3,2023,2023-02-03T00:00:00Z,3,4,2023,2023-03-04T00:00:00Z,29,F,Ebook,384,Seuil
Les Armoires vides,Annie Ernaux,Française,9782070376001,5,31,2021,2021-05-31T00:00:00Z,6,4,2021,2021-06-04T00:00:00Z,4,F,Ebook,192,Gallimard
Les Années,Annie Ernaux,Française,9782070779222,8,1,2023,2023-08-01T00:00:00Z,8,4,2023,2023-08-04T00:00:00Z,3,F,Ebook,256,Gallimard
Dondog,Antoine Volodine,Française,9782020617109,1,10,2020,2020-01-10T00:00:00Z,1,15,2020,2020-01-15T00:00:00Z,5,M,Broché,368,Seuil
Vies oubliées,Arlette Farge,Française,9782348045738,6,9,2023,2023-06-09T00:00:00Z,6,17,2023,2023-06-17T00:00:00Z,8,F,Ebook,304,La Découverte
La vérité sur la lumière,Auður Ava Ólafsdóttir,Islandaise,9791038700642,5,28,2022,2022-05-28T00:00:00Z,5,31,2022,2022-05-31T00:00:00Z,3,F,Ebook,224,Zulma
Le Rouge vif de la rhubarbe,Auður Ava Ólafsdóttir,Islandaise,9782843048173,4,11,2021,2021-04-11T00:00:00Z,4,11,2021,2021-04-11T00:00:00Z,0,F,Ebook,160,Zulma
Rosa candida,Auður Ava Ólafsdóttir,Islandaise,9782843045219,4,11,2021,2021-04-11T00:00:00Z,4,17,2021,2021-04-17T00:00:00Z,6,F,Ebook,333,Zulma
L'Embellie,Auður Ava Ólafsdóttir,Islandaise,9782843045899,4,17,2021,2021-04-17T00:00:00Z,4,21,2021,2021-04-21T00:00:00Z,4,F,Ebook,395,Zulma
L'Exception,Auður Ava Ólafsdóttir,Islandaise,9782843046957,4,21,2021,2021-04-21T00:00:00Z,4,25,2021,2021-04-25T00:00:00Z,4,F,Ebook,338,Zulma
Ör,Auður Ava Ólafsdóttir,Islandaise,9782843048067,4,26,2021,2021-04-26T00:00:00Z,5,1,2021,2021-05-01T00:00:00Z,5,F,Ebook,240,Zulma
Miss Islande,Auður Ava Ólafsdóttir,Islandaise,9782843048692,5,2,2021,2021-05-02T00:00:00Z,5,8,2021,2021-05-08T00:00:00Z,6,F,Ebook,288,Zulma
Sex-shop,Baptiste Coulmont,Française,9782916275161,1,15,2020,2020-01-15T00:00:00Z,1,25,2020,2020-01-25T00:00:00Z,10,M,Broché,264,Dilecta
Camarade Lune,Barbara Balzerani,Italienne,9782366244281,9,3,2023,2023-09-03T00:00:00Z,9,10,2023,2023-09-10T00:00:00Z,7,F,Ebook,176,Cambourakis
"Alger, rue des Bananiers",Béatrice Commengé,Française,9782378560836,11,7,2023,2023-11-07T00:00:00Z,11,12,2023,2023-11-12T00:00:00Z,5,F,Broché,128,Verdier
Tout le monde peut être féministe,bell hooks,Américaine,9791097088286,8,27,2022,2022-08-27T00:00:00Z,8,27,2022,2022-08-27T00:00:00Z,0,F,Broché,168,Divergences
La volonté de changer,bell hooks,Américaine,9791097088415,8,28,2022,2022-08-28T00:00:00Z,9,9,2022,2022-09-09T00:00:00Z,12,F,Broché,240,Divergences
Le démon de l'écriture,Ben Kafka,Américaine,9782930601083,1,2,2021,2021-01-02T00:00:00Z,1,4,2021,2021-01-04T00:00:00Z,2,M,Broché,182,Zones Sensibles Editions
Vövöl,Bérengère Cournut,Française,9782370553539,10,28,2023,2023-10-28T00:00:00Z,10,28,2023,2023-10-28T00:00:00Z,0,F,Broché,96,Le Tripode
Vivre vite,Brigitte Giraud,Française,9782080207340,9,22,2022,2022-09-22T00:00:00Z,9,23,2022,2022-09-23T00:00:00Z,1,F,Ebook,208,Flammarion
Controverses mode d'emploi,Bruno Latour,Française,9782724627152,2,11,2021,2021-02-11T00:00:00Z,2,14,2021,2021-02-14T00:00:00Z,3,C,Broché,317,Presses de Sciences Po
Où atterrir ?,Bruno Latour,Française,9782707197009,5,10,2021,2021-05-10T00:00:00Z,5,13,2021,2021-05-13T00:00:00Z,3,M,Ebook,127,La Découverte
Où suis-je ? - Leçons du confinement à l'usage des terrestres,Bruno Latour,Française,9782359252002,7,23,2021,2021-07-23T00:00:00Z,7,26,2021,2021-07-26T00:00:00Z,3,M,Ebook,192,Empêcheurs de penser rond
