Titre,QID_ouvrage,Auteur,image,QID_Auteur,pays de nationalité,Nationalité,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,ecart_date,Genre auteur,Format,Pages,Editeur
"Trap : Rap, drogue, argent, survie",,"Adeyemi Kemi,  Raphaël Da Cruz,  Kaluža  Jernej",,,,N/A,9782492469039,6,18,2021,2021-06-18T00:00:00Z,6,22,2021,2021-06-22T00:00:00Z,4,C,Broché,175,"Audimat Éditions, Éditions Divergences"
L'Art de perdre,Q55597531,Alice Zeniter,AliceZeniterManosque.jpg,Q2836679,France,Française,9782081418011,6,20,2022,2022-06-20T00:00:00Z,6,29,2022,2022-06-29T00:00:00Z,9,F,Ebook,512,Flammarion
Toute une moitié du monde,,Alice Zeniter,AliceZeniterManosque.jpg,Q2836679,France,Française,9782080259332,11,1,2022,2022-11-01T00:00:00Z,11,4,2022,2022-11-04T00:00:00Z,3,F,Ebook,240,Flammarion
Juste avant l’oubli,,Alice Zeniter,AliceZeniterManosque.jpg,Q2836679,France,Française,9782081334816,3,30,2023,2023-03-30T00:00:00Z,4,4,2023,2023-04-04T00:00:00Z,5,F,Ebook,288,Flammarion
La Saga Crispr,,Aline Richard,,Q88152410,,Française,9782081375741,5,5,2022,2022-05-05T00:00:00Z,5,16,2022,2022-05-16T00:00:00Z,11,F,Ebook,400,Flammarion
L'Homme qui savait la langue des serpents,Q6807713,Andrus Kivirähk,Andrus Kivirähk 2021. aasta Kirjandustänava festivalil.jpg,Q514424,Union soviétique,Estonienne,9782370550637,8,15,2022,2022-08-15T00:00:00Z,8,26,2022,2022-08-26T00:00:00Z,11,M,Ebook,480,Le Tripode
Wikidata,,Anne Chardonnens,,Q92088361,Suisse,Suisse,,1,14,2021,2021-01-14T00:00:00Z,1,18,2021,2021-01-18T00:00:00Z,4,F,Broché,420,
Gorilla Girl,,Anne Schmauch,,Q95386821,France,Française,9782377314690,7,26,2021,2021-07-26T00:00:00Z,7,29,2021,2021-07-29T00:00:00Z,3,F,Ebook,369,Sarbacane
Tombeaux,,Annette Wieviorka,Annette Wieviorka par Claude Truong-Ngoc.JPG,Q2851520,France,Française,9782021478181,2,3,2023,2023-02-03T00:00:00Z,3,4,2023,2023-03-04T00:00:00Z,29,F,Ebook,384,Seuil
Les Armoires vides,,Annie Ernaux,Annie Ernaux in 2022 (2 av 11).jpg,Q1153825,France,Française,9782070376001,5,31,2021,2021-05-31T00:00:00Z,6,4,2021,2021-06-04T00:00:00Z,4,F,Ebook,192,Gallimard
Les Années,Q3230588,Annie Ernaux,Annie Ernaux in 2022 (2 av 11).jpg,Q1153825,France,Française,9782070779222,8,1,2023,2023-08-01T00:00:00Z,8,4,2023,2023-08-04T00:00:00Z,3,F,Ebook,256,Gallimard
Dondog,,Antoine Volodine,Antoine Volodine (2014).jpg,Q2266367,France,Française,9782020617109,1,10,2020,2020-01-10T00:00:00Z,1,15,2020,2020-01-15T00:00:00Z,5,M,Broché,368,Seuil
Vies oubliées,,Arlette Farge,Arlette Farge historienne.jpg,Q2861628,France,Française,9782348045738,6,9,2023,2023-06-09T00:00:00Z,6,17,2023,2023-06-17T00:00:00Z,8,F,Ebook,304,La Découverte
La vérité sur la lumière,,Auður Ava Ólafsdóttir,Audur Ava ÓLAFSDÓTTIR.jpg,Q454068,Islande,Islandaise,9791038700642,5,28,2022,2022-05-28T00:00:00Z,5,31,2022,2022-05-31T00:00:00Z,3,F,Ebook,224,Zulma
Le Rouge vif de la rhubarbe,Q97279379,Auður Ava Ólafsdóttir,Audur Ava ÓLAFSDÓTTIR.jpg,Q454068,Islande,Islandaise,9782843048173,4,11,2021,2021-04-11T00:00:00Z,4,11,2021,2021-04-11T00:00:00Z,0,F,Ebook,160,Zulma
Rosa candida,Q16598520,Auður Ava Ólafsdóttir,Audur Ava ÓLAFSDÓTTIR.jpg,Q454068,Islande,Islandaise,9782843045219,4,11,2021,2021-04-11T00:00:00Z,4,17,2021,2021-04-17T00:00:00Z,6,F,Ebook,333,Zulma
L'Embellie,Q15945206,Auður Ava Ólafsdóttir,Audur Ava ÓLAFSDÓTTIR.jpg,Q454068,Islande,Islandaise,9782843045899,4,17,2021,2021-04-17T00:00:00Z,4,21,2021,2021-04-21T00:00:00Z,4,F,Ebook,395,Zulma
L'Exception,,Auður Ava Ólafsdóttir,Audur Ava ÓLAFSDÓTTIR.jpg,Q454068,Islande,Islandaise,9782843046957,4,21,2021,2021-04-21T00:00:00Z,4,25,2021,2021-04-25T00:00:00Z,4,F,Ebook,338,Zulma
Ör,,Auður Ava Ólafsdóttir,Audur Ava ÓLAFSDÓTTIR.jpg,Q454068,Islande,Islandaise,9782843048067,4,26,2021,2021-04-26T00:00:00Z,5,1,2021,2021-05-01T00:00:00Z,5,F,Ebook,240,Zulma
Miss Islande,,Auður Ava Ólafsdóttir,Audur Ava ÓLAFSDÓTTIR.jpg,Q454068,Islande,Islandaise,9782843048692,5,2,2021,2021-05-02T00:00:00Z,5,8,2021,2021-05-08T00:00:00Z,6,F,Ebook,288,Zulma
Sex-shop,,Baptiste Coulmont,,Q58235950,,Française,9782916275161,1,15,2020,2020-01-15T00:00:00Z,1,25,2020,2020-01-25T00:00:00Z,10,M,Broché,264,Dilecta
Camarade Lune,,Barbara Balzerani,Barbara balzerani.jpg,Q3634588,Italie,Italienne,9782366244281,9,3,2023,2023-09-03T00:00:00Z,9,10,2023,2023-09-10T00:00:00Z,7,F,Ebook,176,Cambourakis
"Alger, rue des Bananiers",,Béatrice Commengé,Béatrice Commengé.jpg,Q2929429,France,Française,9782378560836,11,7,2023,2023-11-07T00:00:00Z,11,12,2023,2023-11-12T00:00:00Z,5,F,Broché,128,Verdier
Tout le monde peut être féministe,,bell hooks,Bellhooks.jpg,Q259507,États-Unis,Américaine,9791097088286,8,27,2022,2022-08-27T00:00:00Z,8,27,2022,2022-08-27T00:00:00Z,0,F,Broché,168,Divergences
La volonté de changer,,bell hooks,Bellhooks.jpg,Q259507,États-Unis,Américaine,9791097088415,8,28,2022,2022-08-28T00:00:00Z,9,9,2022,2022-09-09T00:00:00Z,12,F,Broché,240,Divergences
Le démon de l'écriture,,Ben Kafka,,Q112523678,,Américaine,9782930601083,1,2,2021,2021-01-02T00:00:00Z,1,4,2021,2021-01-04T00:00:00Z,2,M,Broché,182,Zones Sensibles Editions
Vövöl,,Bérengère Cournut,Bérengère Cournut - Librairie Mollat.jpg,Q67089108,France,Française,9782370553539,10,28,2023,2023-10-28T00:00:00Z,10,28,2023,2023-10-28T00:00:00Z,0,F,Broché,96,Le Tripode
Vivre vite,Q115133963,Brigitte Giraud,Brigitte Giraud (2017).png,Q916286,France,Française,9782080207340,9,22,2022,2022-09-22T00:00:00Z,9,23,2022,2022-09-23T00:00:00Z,1,F,Ebook,208,Flammarion
Controverses mode d'emploi,,Bruno Latour,Bruno Latour in Taiwan P1250394 (cropped).jpg,Q355237,France,Française,9782724627152,2,11,2021,2021-02-11T00:00:00Z,2,14,2021,2021-02-14T00:00:00Z,3,C,Broché,317,Presses de Sciences Po
Où atterrir ?,,Bruno Latour,Bruno Latour in Taiwan P1250394 (cropped).jpg,Q355237,France,Française,9782707197009,5,10,2021,2021-05-10T00:00:00Z,5,13,2021,2021-05-13T00:00:00Z,3,M,Ebook,127,La Découverte
Où suis-je ? - Leçons du confinement à l'usage des terrestres,,Bruno Latour,Bruno Latour in Taiwan P1250394 (cropped).jpg,Q355237,France,Française,9782359252002,7,23,2021,2021-07-23T00:00:00Z,7,26,2021,2021-07-26T00:00:00Z,3,M,Ebook,192,Empêcheurs de penser rond
Open Design: Fabrication numérique et mouvement maker (Esthétique des données),,Camille Bosqué,,,,Française,9782490077588,9,2,2021,2021-09-02T00:00:00Z,9,12,2021,2021-09-12T00:00:00Z,10,F,Broché,216,B42
"Thésée, sa vie nouvelle",,Camille de Toledo,Camille de Toledo - Mantovani©Gallimard.jpg,Q2935117,France,Française,9782378560775,2,28,2021,2021-02-28T00:00:00Z,3,4,2021,2021-03-04T00:00:00Z,4,M,Broché,251,Verdier
Pleine et douce,,Camille Froidevaux-Metterie,Camille Froidevaux Metterie-cr.jpg,Q47093256,France,Française,9782848054674,6,24,2023,2023-06-24T00:00:00Z,6,25,2023,2023-06-25T00:00:00Z,1,F,Ebook,224,Sabine Wespieser
Un corps à soi,,Camille Froidevaux-Metterie,Camille Froidevaux Metterie-cr.jpg,Q47093256,France,Française,9782021448665,7,6,2023,2023-07-06T00:00:00Z,7,23,2023,2023-07-23T00:00:00Z,17,F,Ebook,352,Seuil
À l’ombre de l’histoire des autres,,Camille Lefebvre,,Q109195474,France,Française,9782713228902,3,28,2023,2023-03-28T00:00:00Z,4,6,2023,2023-04-06T00:00:00Z,9,F,Broché,200,EHESS
Des pays au crépuscule,,Camille Lefebvre,,Q109195474,France,Française,9782213718101,5,5,2023,2023-05-05T00:00:00Z,5,12,2023,2023-05-12T00:00:00Z,7,F,Broché,352,Fayard
Les damnées de la mer - Femmes et frontières en Méditerranée,,Camille Schmoll,Camille Schmoll-FIG 2022 (1).jpg,Q3651431,France,Française,9782348041075,11,14,2022,2022-11-14T00:00:00Z,11,20,2022,2022-11-20T00:00:00Z,6,F,Ebook,248,La Découverte
Algorithmes : la bombe à retardement,,Cathy O'Neil,Cathy O'Neil at Google Cambridge.jpg,Q16499729,États-Unis,Américaine,9782352049807,11,24,2020,2020-11-24T00:00:00Z,11,30,2020,2020-11-30T00:00:00Z,6,F,Ebook,340,Les Arènes
Le roi n’a pas sommeil,,Cécile Coulon,CCoulon SoifDeLire.jpg,Q3009720,France,Française,9782878585094,2,7,2022,2022-02-07T00:00:00Z,2,14,2022,2022-02-14T00:00:00Z,7,F,Ebook,152,Viviane Hamy
Le pied à terre,,Cécile Coulon,CCoulon SoifDeLire.jpg,Q3009720,France,Française,9782080253446,11,27,2022,2022-11-27T00:00:00Z,11,27,2022,2022-11-27T00:00:00Z,0,F,Broché,192,Arthaud
Noir volcan,,Cécile Coulon,CCoulon SoifDeLire.jpg,Q3009720,France,Française,9791027802449,9,4,2021,2021-09-04T00:00:00Z,9,5,2021,2021-09-05T00:00:00Z,1,F,Broché,148,Castor Astral
Petit éloge du running,,Cécile Coulon,CCoulon SoifDeLire.jpg,Q3009720,France,Française,9791025203798,9,5,2021,2021-09-05T00:00:00Z,9,6,2021,2021-09-06T00:00:00Z,1,F,Ebook,128,Les Nouvelles Editions François Bourin
Une bête au paradis,Q75684980,Cécile Coulon,CCoulon SoifDeLire.jpg,Q3009720,France,Française,9782378800789,1,26,2020,2020-01-26T00:00:00Z,1,29,2020,2020-01-29T00:00:00Z,3,F,Ebook,354,L’Iconoclaste
Les grande villes n’existent pas,,Cécile Coulon,CCoulon SoifDeLire.jpg,Q3009720,France,Française,9782370210999,2,29,2020,2020-02-29T00:00:00Z,2,29,2020,2020-02-29T00:00:00Z,0,F,Broché,112,Raconter la vie
Le rire du grand blessé,,Cécile Coulon,CCoulon SoifDeLire.jpg,Q3009720,France,Française,9782878585841,1,8,2023,2023-01-08T00:00:00Z,1,11,2023,2023-01-11T00:00:00Z,3,F,Ebook,136,Viviane Hamy
Faillir être flingué,Q17354519,Céline Minard,,Q3010178,France,Française,9782743625832,8,11,2023,2023-08-11T00:00:00Z,8,16,2023,2023-08-16T00:00:00Z,5,F,Ebook,336,Rivages
Le grand jeu,,Céline Minard,,Q3010178,France,Française,9782743637507,9,12,2023,2023-09-12T00:00:00Z,9,17,2023,2023-09-17T00:00:00Z,5,F,Ebook,192,Rivages
Les héroïnes de séries américaines,,Céline Morin,,,,Française,9782869064911,4,11,2020,2020-04-11T00:00:00Z,4,13,2020,2020-04-13T00:00:00Z,2,F,Ebook,288,François Rabelais
En transit,,Céline Regnard,,Q112535602,,Française,9782381910161,3,3,2023,2023-03-03T00:00:00Z,3,12,2023,2023-03-12T00:00:00Z,9,F,Broché,456,Anamosa
Americanah,Q16154159,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie (2015).png,Q230141,Nigeria,Nigériane,9782070142354,5,16,2021,2021-05-16T00:00:00Z,5,23,2021,2021-05-23T00:00:00Z,7,F,Ebook,528,Gallimard
Dans ma maison sous terre,,Chloé Delaume,Chloe Delaume.jpg,Q2964194,France,Française,9782020983020,1,23,2023,2023-01-23T00:00:00Z,1,25,2023,2023-01-25T00:00:00Z,2,F,Broché,216,Seuil
Le Cœur synthétique,Q101243705,Chloé Delaume,Chloe Delaume.jpg,Q2964194,France,Française,9782021425451,9,21,2023,2023-09-21T00:00:00Z,9,26,2023,2023-09-26T00:00:00Z,5,F,Broché,208,Seuil
Ce genre de petites choses,,Claire Keegan,Dublin Writers Festival 2007 (686228986) (cropped).jpg,Q278917,Irlande,Irlandaise,9782848053721,7,27,2023,2023-07-27T00:00:00Z,7,29,2023,2023-07-29T00:00:00Z,2,F,Ebook,120,Sabine Wespieser
La passion selon G.H,,Clarice Lispector,Clarice Lispector (cropped).jpg,Q235955,République socialiste soviétique d'Ukraine,Brésilienne,9782721008510,1,25,2023,2023-01-25T00:00:00Z,1,31,2023,2023-01-31T00:00:00Z,6,F,Broché,225,Des Femmes - Antoinette Fouque
Romance in Marseille,Q96402475,Claude McKay,Mackey.jpg,Q1096967,colonie de Jamaïque,Américaine,9791097210069,8,5,2022,2022-08-05T00:00:00Z,8,6,2022,2022-08-06T00:00:00Z,1,M,Ebook,148,Héliotropismes
Boys don’t cry,,Coll.,,,,N/A,9782753518278,4,22,2020,2020-04-22T00:00:00Z,5,15,2020,2020-05-15T00:00:00Z,23,C,Ebook,332,Presses Universitaire de Rennes
Histoire de la Normandie,,Coll.,,,,N/A,2000166985317,7,22,2020,2020-07-22T00:00:00Z,10,3,2020,2020-10-03T00:00:00Z,73,C,Broché,540,Privat
Big Data et traçabilité numérique,,Coll.,,,,N/A,9782722604667,12,8,2020,2020-12-08T00:00:00Z,12,31,2020,2020-12-31T00:00:00Z,23,C,Ebook,218,Collège de France
Love Me Tender,Q123852804,Constance Debré,CDebré.jpg,Q47486826,France,Française,9782081471733,11,15,2023,2023-11-15T00:00:00Z,11,23,2023,2023-11-23T00:00:00Z,8,F,Broché,192,Flammarion
Seule en sa demeure,,Cécile Coulon,CCoulon SoifDeLire.jpg,Q3009720,France,Française,9782378802400,5,5,2021,2021-05-05T00:00:00Z,5,15,2021,2021-05-15T00:00:00Z,10,F,Ebook,333,L’Iconoclaste
Le bal au Kremlin,,Curzio Malaparte,Curzio Malaparte.jpg,Q312637,Italie,Italienne,9782070767120,1,22,2022,2022-01-22T00:00:00Z,1,23,2022,2022-01-23T00:00:00Z,1,M,Broché,196,Gallimard
Le compagnon de voyage,,Curzio Malaparte,Curzio Malaparte.jpg,Q312637,Italie,Italienne,9782710330905,3,1,2020,2020-03-01T00:00:00Z,3,1,2020,2020-03-01T00:00:00Z,0,M,Ebook,112,Quai Voltaire
Ce qui ne peut être volé,,Cynthia Fleury et Antoine Fenoglio,,,,Française,9782072997327,10,24,2022,2022-10-24T00:00:00Z,10,25,2022,2022-10-25T00:00:00Z,1,C,Ebook,48,Gallimard
L’état qu’il nous faut,,"Daniel Agacinski, Romain Beaucher, Céline Danion",,,,Française,9782701321639,10,24,2022,2022-10-24T00:00:00Z,10,30,2022,2022-10-30T00:00:00Z,6,C,Broché,163,Berger-Levrault
Ce que je ne veux pas savoir,Q104239955,Deborah Levy,,Q5248308,Royaume-Uni,Sud-africaine,9782364684508,6,25,2021,2021-06-25T00:00:00Z,6,26,2021,2021-06-26T00:00:00Z,1,F,Ebook,144,Du Sous-sol
Le Coût de la vie,Q104240153,Deborah Levy,,Q5248308,Royaume-Uni,Sud-africaine,9782364684546,9,19,2021,2021-09-19T00:00:00Z,9,20,2021,2021-09-20T00:00:00Z,1,F,Ebook,160,Du Sous-sol
Etat des lieux,,Deborah Levy,,Q5248308,Royaume-Uni,Sud-africaine,9782364685796,5,27,2023,2023-05-27T00:00:00Z,5,31,2023,2023-05-31T00:00:00Z,4,F,Ebook,240,Du Sous-sol
